[*] 10/9/2025 10:58:25 AM - Starting HardeningKitty
[*] 10/9/2025 10:58:25 AM - Getting machine information
[*] Hostname: DESKTOP-UD5QC2K
[*] Domain: WORKGROUP
[*] Domain role: StandaloneWorkstation
[*] Install date: 10/07/2025 17:04:54
[*] Last Boot Time: 10/09/2025 09:23:55
[*] Uptime: 01:34:29.8047056
[*] Windows: Microsoft Windows 11 Pro
[*] Windows edition: Professional
[*] Windows version: 2009
[*] Windows build: 26100.1.amd64fre.ge_release.240331-1435
[*] System-locale: en-US
[*] Powershell Version: 5.1
[*] 10/9/2025 10:58:29 AM - Getting user information
[*] Username: DESKTOP-UD5QC2K\Fadlullah LC
[*] Is Admin: True
[*] 10/9/2025 10:58:29 AM - Starting Category Features
ID 1000, SMBv1 Support, Feature is not installed
[*] 10/9/2025 10:58:30 AM - Starting Category Account Policies
ID 1103, System Access\ClearTextPassword, 0, Configured security policy
ID 1101, Account lockout duration, 10, Account policy set
ID 1100, Account lockout threshold, 10, Account policy set
ID 1104, System Access\AllowAdministratorLockout, 1, Configured security policy
ID 1102, Reset account lockout counter, 10, Account policy set
[*] 10/9/2025 10:58:38 AM - Starting Category User Rights Assignment
ID 1200, SeNetworkLogonRight, S-1-1-0;S-1-5-32-544;S-1-5-32-545;S-1-5-32-551, Configured system user right assignment
ID 1201, SeInteractiveLogonRight, Guest;S-1-5-32-544;S-1-5-32-545;S-1-5-32-551, Configured system user right assignment
ID 1202, SeDebugPrivilege, S-1-5-32-544, Configured system user right assignment
ID 1203, SeDenyNetworkLogonRight, Guest, Configured system user right assignment
ID 1204, SeDenyBatchLogonRight, , Configured system user right assignment
ID 1205, SeDenyServiceLogonRight, , Configured system user right assignment
ID 1206, SeDenyRemoteInteractiveLogonRight, , Configured system user right assignment
[*] 10/9/2025 10:58:41 AM - Starting Category Security Options
ID 1300, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, NoConnectedUser, Registry key removed
ID 1301, HKLM:\System\CurrentControlSet\Control\Lsa, SCENoApplyLegacyAuditPolicy, Registry key removed
ID 1302, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, DisableCAD, Registry key removed
ID 1303, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, DontDisplayLastUserName, Registry value created/modified
ID 1304, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, DontDisplayUserName, Registry key removed
