[*] 10/9/2025 12:42:53 AM - Starting HardeningKitty
[*] 10/9/2025 12:42:53 AM - Getting machine information
[*] Hostname: DESKTOP-UD5QC2K
[*] Domain: WORKGROUP
[*] Domain role: StandaloneWorkstation
[*] Install date: 10/07/2025 17:04:54
[*] Last Boot Time: 10/08/2025 15:53:48
[*] Uptime: 08:49:05.1345939
[*] Windows: Microsoft Windows 11 Pro
[*] Windows edition: Professional
[*] Windows version: 2009
[*] Windows build: 26100.1.amd64fre.ge_release.240331-1435
[*] System-locale: en-US
[*] Powershell Version: 5.1
[*] 10/9/2025 12:42:58 AM - Getting user information
[*] Username: DESKTOP-UD5QC2K\Fadlullah LC
[*] Is Admin: True
[*] 10/9/2025 12:42:58 AM - Starting Category Features
ID 1000, SMBv1 Support, Feature is not installed
[*] 10/9/2025 12:42:58 AM - Starting Category Account Policies
ID 1103, System Access\ClearTextPassword, 0, Configured security policy
ID 1101, Account lockout duration, 15, Account policy set
ID 1100, Account lockout threshold, 10, Account policy set
ID 1104, System Access\AllowAdministratorLockout, 1, Configured security policy
ID 1102, Reset account lockout counter, 15, Account policy set
[*] 10/9/2025 12:43:07 AM - Starting Category User Rights Assignment
ID 1200, SeNetworkLogonRight, BUILTIN\Administrators, Configured system user right assignment
ID 1201, SeInteractiveLogonRight, BUILTIN\Users;BUILTIN\Administrators, Configured system user right assignment
ID 1202, SeDebugPrivilege, , Configured system user right assignment
ID 1203, SeDenyNetworkLogonRight, BUILTIN\Guests;NT AUTHORITY\Local account, Configured system user right assignment
ID 1204, SeDenyBatchLogonRight, BUILTIN\Guests, Configured system user right assignment
ID 1205, SeDenyServiceLogonRight, BUILTIN\Guests, Configured system user right assignment
ID 1206, SeDenyRemoteInteractiveLogonRight, BUILTIN\Guests;NT AUTHORITY\Local account, Configured system user right assignment
[*] 10/9/2025 12:43:10 AM - Starting Category Security Options
ID 1300, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, NoConnectedUser, Registry value created/modified
ID 1301, HKLM:\System\CurrentControlSet\Control\Lsa, SCENoApplyLegacyAuditPolicy, Registry value created/modified
ID 1302, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, DisableCAD, Registry value created/modified
ID 1303, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, DontDisplayLastUserName, Registry value created/modified
ID 1304, HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System, DontDisplayUserName, Registry value created/modified
ID 1305, HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters, RequireSecuritySignature, Registry value created/modified
ID 1306, HKLM:\System\CurrentControlSet\Services\LanmanWorkstation\Parameters, EnableSecuritySignature, Registry value created/modified
ID 1307, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, RequireSecuritySignature, Registry value created/modified
ID 1308, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, EnableSecuritySignature, Registry value created/modified
ID 1309, HKLM:\System\CurrentControlSet\Control\Lsa, RestrictAnonymousSAM, Registry value created/modified
ID 1310, HKLM:\System\CurrentControlSet\Control\Lsa, RestrictAnonymous, Registry value created/modified
ID 1311, HKLM:\System\CurrentControlSet\Control\Lsa, DisableDomainCreds, Registry value created/modified
ID 1324, HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters, RestrictNullSessAccess, Registry value created/modified
ID 1325, HKLM:\System\CurrentControlSet\Control\Lsa, RestrictRemoteSAM, Registry value created/modified
ID 1312, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, allownullsessionfallback, Registry value created/modified
ID 1326, HKLM:\System\CurrentControlSet\Control\Lsa, NoLMHash, Registry value created/modified
ID 1313, HKLM:\System\CurrentControlSet\Control\Lsa, LmCompatibilityLevel, Registry value created/modified
ID 1314, HKLM:\System\CurrentControlSet\Services\LDAP, LDAPClientIntegrity, Registry value created/modified
ID 1315, HKLM:\System\CurrentControlSet\Control\Lsa\MSV1_0, NTLMMinClientSec, Registry value created/modified
